,status,x_marst,x_occup08,x_diplom,x_age,region,xh5,xj1,xj4.1,xj13.2
2104,Областной центр,Bдовец (вдова),,незаконченное среднее образование (7 - 8 кл),85.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2105,Областной центр,Никогда в браке не состояли,,законченное среднее образование,41.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2106,Областной центр,Разведены и в браке не состоите,специалисты высшего уровня квалификации,законченное высшее образование и выше,59.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"НАУКА, КУЛЬТУРА",20000.0
2107,Областной центр,"Живете вместе, но не зарегистрированы",специалисты высшего уровня квалификации,законченное высшее образование и выше,32.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"НАУКА, КУЛЬТУРА",50000.0
2108,Областной центр,Bдовец (вдова),,законченное высшее образование и выше,85.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2109,Областной центр,Разведены и в браке не состоите,работники сферы торговли и услуг,законченное среднее специальное образование,61.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",30000.0
2110,Областной центр,Bдовец (вдова),служащие офисные и по обслуживанию клиентов,законченное высшее образование и выше,57.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",30000.0
2111,Областной центр,Состоите в зарегистрированном браке,служащие офисные и по обслуживанию клиентов,законченное среднее образование,29.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",25000.0
2112,Областной центр,Разведены и в браке не состоите,,законченное среднее специальное образование,76.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2113,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,76.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2114,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,55.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2115,Областной центр,"Живете вместе, но не зарегистрированы",,законченное среднее специальное образование,85.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2116,Областной центр,Разведены и в браке не состоите,,законченное среднее специальное образование,75.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2117,Областной центр,Состоите в зарегистрированном браке,,законченное высшее образование и выше,39.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2118,Областной центр,Состоите в зарегистрированном браке,,законченное среднее специальное образование,39.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2119,Областной центр,Никогда в браке не состояли,работники сферы торговли и услуг,законченное среднее специальное образование,20.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",30000.0
2120,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,62.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2121,Областной центр,Разведены и в браке не состоите,,законченное среднее специальное образование,79.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2122,Областной центр,Никогда в браке не состояли,,законченное среднее специальное образование,55.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2123,Областной центр,Состоите в зарегистрированном браке,,законченное среднее образование,67.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2124,Областной центр,Состоите в зарегистрированном браке,,законченное среднее образование,76.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2125,Областной центр,Никогда в браке не состояли,специалисты среднего уровня квалификации; чиновники,законченное высшее образование и выше,40.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,ЗДРАВООХРАНЕНИЕ,35000.0
2126,Областной центр,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное среднее специальное образование,41.0,Москва,МУЖСКОЙ,Вы сейчас работаете,"НАУКА, КУЛЬТУРА",80000.0
2127,Областной центр,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное высшее образование и выше,56.0,Москва,МУЖСКОЙ,Вы сейчас работаете,СТРОИТЕЛЬСТВО,60000.0
2128,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,82.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2129,Областной центр,Состоите в зарегистрированном браке,,незаконченное среднее образование (7 - 8 кл) + что-то еще,72.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2130,Областной центр,Состоите в зарегистрированном браке,,законченное среднее специальное образование,61.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2131,Областной центр,Состоите в зарегистрированном браке,,законченное среднее образование,61.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2132,Областной центр,Состоите в зарегистрированном браке,"квалифицированные рабочие, занятые ручным трудом",законченное высшее образование и выше,34.0,Москва,МУЖСКОЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",42000.0
2133,Областной центр,Состоите в зарегистрированном браке,специалисты среднего уровня квалификации; чиновники,законченное среднее специальное образование,52.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,15000.0
2134,Областной центр,Никогда в браке не состояли,специалисты высшего уровня квалификации,законченное высшее образование и выше,29.0,Москва,МУЖСКОЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",ОТКАЗ ОТ ОТВЕТА
2135,Областной центр,Состоите в зарегистрированном браке,служащие офисные и по обслуживанию клиентов,законченное среднее специальное образование,21.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",30000.0
2136,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,82.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2137,Областной центр,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное высшее образование и выше,57.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,ЗДРАВООХРАНЕНИЕ,130000.0
2138,Областной центр,Bдовец (вдова),,законченное высшее образование и выше,87.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2139,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,84.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2140,Областной центр,"Живете вместе, но не зарегистрированы",,законченное среднее специальное образование,64.0,Москва,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2141,Областной центр,"Живете вместе, но не зарегистрированы",,законченное среднее специальное образование,61.0,Москва,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2142,Областной центр,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное высшее образование и выше,58.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"НАУКА, КУЛЬТУРА",36000.0
2143,Областной центр,Состоите в зарегистрированном браке,"квалифицированные рабочие, использующие машины и механизмы",законченное среднее специальное образование,42.0,Москва,МУЖСКОЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",80000.0
2144,Областной центр,Состоите в зарегистрированном браке,специалисты среднего уровня квалификации; чиновники,незаконченное среднее образование (7 - 8 кл) + что-то еще,34.0,Москва,ЖЕНСКИЙ,Вы сейчас работаете,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",27000.0
2145,Областной центр,Состоите в зарегистрированном браке,неквалифицированные рабочие всех отраслей,законченное среднее образование,57.0,Москва,МУЖСКОЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",40000.0
